;nome;ID_aluno;dominio;email;matricula
167;TAINARA;85;@servicodoemail.com;tainara@servicodoemail.com;2
168;IARA;398;@servicodoemail.com;iara@servicodoemail.com;1
169;JOELMA;40;@servicodoemail.com;joelma@servicodoemail.com;3
170;MARINALVA;341;@servicodoemail.com;marinalva@servicodoemail.com;2
171;TERESINHA;3;@dominiodoemail.com.br;teresinha@dominiodoemail.com.br;1
172;REBECA;312;@servicodoemail.com;rebeca@servicodoemail.com;2
173;GERALDA;306;@dominiodoemail.com.br;geralda@dominiodoemail.com.br;1
174;CLEONICE;69;@servicodoemail.com;cleonice@servicodoemail.com;1
175;ALEXANDRA;209;@dominiodoemail.com.br;alexandra@dominiodoemail.com.br;1
176;MARA;388;@servicodoemail.com;mara@servicodoemail.com;1
177;JENIFER;254;@dominiodoemail.com.br;jenifer@dominiodoemail.com.br;2
178;ELIZANGELA;335;@dominiodoemail.com.br;elizangela@dominiodoemail.com.br;1
179;LILIANE;340;@dominiodoemail.com.br;liliane@dominiodoemail.com.br;1
180;LIDIA;112;@servicodoemail.com;lidia@servicodoemail.com;3
181;IRACEMA;225;@dominiodoemail.com.br;iracema@dominiodoemail.com.br;3
182;LIDIANE;33;@dominiodoemail.com.br;lidiane@dominiodoemail.com.br;2
183;IRACI;74;@dominiodoemail.com.br;iraci@dominiodoemail.com.br;1
184;MARILIA;48;@dominiodoemail.com.br;marilia@dominiodoemail.com.br;2
185;SHEILA;127;@dominiodoemail.com.br;sheila@dominiodoemail.com.br;2
186;INES;114;@servicodoemail.com;ines@servicodoemail.com;3
187;NAIARA;97;@dominiodoemail.com.br;naiara@dominiodoemail.com.br;4
188;POLIANA;226;@servicodoemail.com;poliana@servicodoemail.com;1
189;DALVA;215;@servicodoemail.com;dalva@servicodoemail.com;1
190;LURDES;58;@servicodoemail.com;lurdes@servicodoemail.com;2
191;TERESA;124;@servicodoemail.com;teresa@servicodoemail.com;2
192;ZILDA;107;@servicodoemail.com;zilda@servicodoemail.com;2
193;LUCILENE;84;@servicodoemail.com;lucilene@servicodoemail.com;1
194;CLARA;18;@servicodoemail.com;clara@servicodoemail.com;1
195;ROSANE;231;@dominiodoemail.com.br;rosane@dominiodoemail.com.br;1
196;IVONETE;99;@servicodoemail.com;ivonete@servicodoemail.com;1
197;LUCIANE;323;@dominiodoemail.com.br;luciane@dominiodoemail.com.br;1
198;ISADORA;383;@servicodoemail.com;isadora@servicodoemail.com;3
199;NILZA;366;@servicodoemail.com;nilza@servicodoemail.com;1
